nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie Les Jardins de la Côme Vivier-au-Court, ARDENNES",Vivier Au Court,08440,ADAPAH,1 rue du Cercle,03 24 37 86 97,contact@adapah08.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=080008196,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Vivier Au Court, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (08),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/ardennes-08/vivier-au-court-08440/residence-autonomie-les-jardins-de-la-come/080008196,2025-12-16,personnes_agees
Résidence autonomie Les Marronniers,Mouzon,08210,CCAS,3 avenue Moulin Lavigne,03 24 26 15 34,ccasmouzon@orange.fr,https://www.mouzon.fr/famille-et-solidarite/residence-les-marronniers/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Mouzon, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (08),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/ardennes-08/mouzon-08210/residence-autonomie-les-marronniers/080005374,2025-12-16,personnes_agees
"Résidence autonomie Les Sorbiers Charleville-Mézières, ARDENNES",Charleville Mezieres,08000,RESIDEIS,19 rue des Mésanges,03 24 37 07 05,residence.lessorbiers@resideis.fr,https://www.sivom-bethunois.fr/index.php/social/residences/sorbiers/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Charleville Mezieres, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (08),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/ardennes-08/charleville-mezieres-08000/residence-autonomie-les-sorbiers/080005903,2025-12-16,personnes_agees
Résidence autonomie Mac Donald,Sedan,08200,CCAS,7 rue Jules Clin,03 24 27 73 50,ccas@ville-sedan.fr,https://sedan.fr/equipment/residence-mac-donald/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Sedan, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (08),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/ardennes-08/sedan-08200/residence-autonomie-mac-donald/080003213,2025-12-16,personnes_agees
DiversiTOIT habitat Inclusif,Revin,08500,EPAJ,,,,,Habitat inclusif,habitat_partage,a_verifier,"Voici une présentation claire, factuelle et professionnelle de l'établissement DiversiTOIT habitat Inclusif : Le DiversiTOIT habitat Inclusif est un établissement d'hébergement inclusif situé à Revin, dans le département des Ardennes. Il offre un environnement accueillant et sécurisé pour les personnes en besoin d'aide. Géré par l'établissement DiversiTOIT habitat Inclusif, cet établissement accueille des personnes qui nécessitent un soutien pour leur quotidien. Les services et activités proposés sont conçus pour répondre à leurs besoins spécifiques.",Ardennes (08),https://www.diversitoit.fr/habitat-inclusif-revin-vallee-meuse.php,2025-12-16,personnes_handicapees
HOME | Global axe,Charleville-,08000,,31 Avenue Charles de Gaulle,,,https://dora.inclusion.gouv.fr/services/global-axe-home-habiter-oui-mai,Habitat inclusif,habitat_partage,a_verifier,"Présentation de l'établissement HOME | Global axe L'établissement HOME | Global axe est un habitat inclusif situé à Charleville-Mézières, dans le département des Ardennes. Il offre un lieu d'accueil pour les personnes en situation de handicap, en particulier celles bénéficiaires de l'Allocation Adulte Handicapé (AAH) ou de la Prestation Compensation Handicap transport (PCH). Géré par l'établissement HOME | Global axe, cet établissement accueille des personnes ayant une déficience intellectuelle ou un trouble psychique, suffisamment autonomes pour progresser et s'épanouir dans leur logement.",Ardennes (08),https://dora.inclusion.gouv.fr/services/global-axe-home-habiter-oui-mai,2025-12-16,personnes_agees
Colocation Alzheimer à Asfeld,Asfeld,08190,DOMIPAR,,,,https://domipar.fr/,Colocation avec services,habitat_partage,non_eligible,"Présentation de l'établissement Colocation Alzheimer à Asfeld L'établissement Colocation Alzheimer à Asfeld est un établissement de colocation avec services situé dans la commune d'Asfeld, dans le département des Ardennes. Ce type d'établissement propose un environnement de vie partagé pour personnes atteintes d'Alzheimer ou de maladies apparentées. Géré par l'établissement Colocation Alzheimer à Asfeld, cet établissement accueille 8 personnes qui vivent ensemble dans un environnement sécurisé et protégé.",Ardennes (08),https://www.lespetitespierres.org/projet/creation-dune-colocation-pour-personnes-alzheimer/,2025-12-16,alzheimer_accessible
Maison partagée Charleville-Mézières,Charleville-Mézières,08000,Ages & Vie,"14 A, B, C, D RUE DE L’ILE SAINT JEAN",0801 07 08 09,,https://agesetvie.com/maisons-partagees/grand-est/ardennes-08/charleville-mezieres-08000/maisons-partagees-charleville-mezieres,Colocation avec services,habitat_partage,non_eligible,"Voici une présentation claire, factuelle et professionnelle de l'établissement : La Maison partagée Charleville-Mézières est un établissement de colocation avec services situé à Charleville-Mézières, dans le département des Ardennes. Cette maison partagée offre un environnement convivial et sécurisé pour les personnes âgées. Géré par l'établissement Maison partagée Charleville-Mézières, cet établissement accueille les personnes âgées qui souhaitent vivre en communauté tout en bénéficiant de services adaptés à leurs besoins.",Ardennes (08),https://agesetvie.com/maisons-partagees/grand-est/ardennes-08,2025-12-16,personnes_agees
Maison partagée Rimogne,Rimogne,08150,Ages & Vie,98 RUE RENÉ PETIT,0801 07 08 09,,https://agesetvie.com/maisons-partagees/grand-est/ardennes-08/rimogne-08150/maisons-partagees-rimogne,Colocation avec services,habitat_partage,non_eligible,"La Maison partagée Rimogne est un établissement de colocation avec services situé à Rimogne, dans le département des Ardennes. Cette maison partagée est gérée par Ages & Vie et offre une solution de vie en communauté pour les personnes âgées ou en situation de solitude. La Maison partagée Rimogne accueille les personnes âgées ou en situation de solitude, offrant ainsi une alternative à la vie en maison de retraite ou en domicile individuel. Les locataires peuvent bénéficier d'une ambiance familiale et d'un suivi personnalisé.",Ardennes (08),https://agesetvie.com/maisons-partagees/grand-est/ardennes-08,2025-12-16,personnes_agees
Maison partagée Les Hautes-Rivières,Les Hautes-Rivières,08800,Ages & Vie,29 RUE DE LINCHAMPS,0801 07 08 09,,https://agesetvie.com/maisons-partagees/grand-est/ardennes-08/les-hautes-rivieres-08800/maisons-partagees-les-hautes-rivieres,Colocation avec services,habitat_partage,non_eligible,"Maison partagée Les Hautes-Rivières est un établissement de colocation avec services situé à Les Hautes-Rivières, dans le département des Ardennes. Cette maison partagée est gérée par l'établissement lui-même. Conçue pour accueillir les seniors en perte d'autonomie, la Maison partagée Les Hautes-Rivières propose un environnement convivial et sécurisant. L'équipe d'auxiliaires de vie présente sur place 7 jours sur 7 offre un accompagnement personnalisé pour les activités du quotidien, telles que l'aide au lever, au coucher, à la toilette, ainsi que la préparation de repas faits maison et l'entretien du linge. Les résidents peuvent également bénéficier d'activités et sorties, telles que l'accès à une salle de gym. La Maison partagée Les Hautes-Rivières compte 8 chambres et propose un environnement convivial où les résidents peuvent librement continuer à mener leur vie, vivre en couple ou avoir un animal de compagnie. La présence d'une équipe d'auxiliaires de vie garantit une sécurité et une assistance constante, permettant aux résidents de maintenir leur autonomie et leur qualité de vie.",Ardennes (08),https://agesetvie.com/maisons-partagees/grand-est/ardennes-08,2025-12-16,personnes_agees
