"code_insee","commune","departement","code_departement","population"
"92002","Antony","Hauts-de-Seine","92","64263"
"92004","Asnières-sur-Seine","Hauts-de-Seine","92","93941"
"92007","Bagneux","Hauts-de-Seine","92","44572"
"92009","Bois-Colombes","Hauts-de-Seine","92","28909"
"92012","Boulogne-Billancourt","Hauts-de-Seine","92","119019"
"92014","Bourg-la-Reine","Hauts-de-Seine","92","21019"
"92019","Châtenay-Malabry","Hauts-de-Seine","92","35825"
"92020","Châtillon","Hauts-de-Seine","92","36705"
"92022","Chaville","Hauts-de-Seine","92","20594"
"92023","Clamart","Hauts-de-Seine","92","58576"
