code_insee,commune,departement,code_departement,population
77001,Achères-la-Forêt,Seine-et-Marne,77,1191
77002,Annet-sur-Marne,Seine-et-Marne,77,3408
77003,Arbonne-la-Forêt,Seine-et-Marne,77,1021
77004,Argentières,Seine-et-Marne,77,361
77005,Aubepierre-Ozouer-le-Repos,Seine-et-Marne,77,984
77006,Aufferville,Seine-et-Marne,77,482
77007,Augers-en-Brie,Seine-et-Marne,77,265
77008,Aulnoy,Seine-et-Marne,77,362
77009,Avon,Seine-et-Marne,77,13651
77010,Bagneaux-sur-Loing,Seine-et-Marne,77,1570
77011,Bailly-Romainvilliers,Seine-et-Marne,77,6980
77012,Balloy,Seine-et-Marne,77,359
77013,Bannost-Villegagnon,Seine-et-Marne,77,667
77014,Barbey,Seine-et-Marne,77,153
77015,Barbizon,Seine-et-Marne,77,1261
77016,Barcy,Seine-et-Marne,77,387
77017,Bassevelle,Seine-et-Marne,77,374
77018,Beauchery-Saint-Martin,Seine-et-Marne,77,384
77019,Beautheil-Saints,Seine-et-Marne,77,2093
77020,Beauvoir,Seine-et-Marne,77,185
77021,Bellot,Seine-et-Marne,77,777
77022,Bernay-Vilbert,Seine-et-Marne,77,1005
77023,Beton-Bazoches,Seine-et-Marne,77,890
77024,Blennes,Seine-et-Marne,77,546
77025,Bois-le-Roi,Seine-et-Marne,77,6072
77026,Boisdon,Seine-et-Marne,77,131
77027,Boissettes,Seine-et-Marne,77,437
77028,Boissise-la-Bertrand,Seine-et-Marne,77,1206
77029,Boissise-le-Roi,Seine-et-Marne,77,3941
77030,Boissy-aux-Cailles,Seine-et-Marne,77,272
77031,Boissy-le-Châtel,Seine-et-Marne,77,3346
77032,Bornel,Seine-et-Marne,77,
77033,Bouy-Luxembourg,Seine-et-Marne,77,
77034,Bransles,Seine-et-Marne,77,526
77035,Bray-sur-Seine,Seine-et-Marne,77,2344
77036,Bréau,Seine-et-Marne,77,384
77037,Brie-Comte-Robert,Seine-et-Marne,77,19003
77038,Breau-Mars,Seine-et-Marne,77,
77039,La Brosse-Montceaux,Seine-et-Marne,77,776
77040,Brou-sur-Chantereine,Seine-et-Marne,77,5196
77041,Bulcy,Seine-et-Marne,77,
77042,Burcy,Seine-et-Marne,77,150
77043,Bussières,Seine-et-Marne,77,600
77044,Bussy-Saint-Georges,Seine-et-Marne,77,27498
77045,Bussy-Saint-Martin,Seine-et-Marne,77,738
77046,Cailly-sur-Eure,Seine-et-Marne,77,
77047,Cannes-Écluse,Seine-et-Marne,77,2742
77048,Carnetin,Seine-et-Marne,77,461
77049,La Celle-sur-Morin,Seine-et-Marne,77,1235
77050,Cély,Seine-et-Marne,77,1259
77051,Cerneux,Seine-et-Marne,77,272
