nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie Les Heures Claires Saint-Fargeau-Ponthierry, SEINE-ET-MARNE",Saint Fargeau Ponthierry,77310,CCAS,15 rue des Prés,01 60 65 78 98,ccas@saint-fargeau-ponthierry.fr,http://www.saint-fargeau-ponthierry.fr,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Saint Fargeau Ponthierry, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/saint-fargeau-ponthierry-77310/residence-autonomie-les-heures-claires/770802304,2026-01-30,personnes_agees
"Résidence autonomie Bel Âge Montereau-Fault-Yonne, SEINE-ET-MARNE",Montereau Fault Yonne,77130,Commune,,01 64 70 25 45,foyerbellefeuille@ville-montereau77.fr,https://www.ville-montereau77.fr/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Montereau Fault Yonne, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/montereau-fault-yonne-77130/residence-autonomie-bel-age/770802296,2026-01-30,personnes_agees
Résidence autonomie Paul Vincent,Nemours,77140,CCAS,8 rue Hédelin,01 64 28 06 17,,https://www.has-sante.fr/jcms/966_FicheESSMS/fr/residence-autonomie-paul-vincent,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Nemours, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/nemours-77140/residence-autonomie-paul-vincent/770814077,2026-01-30,personnes_agees
Résidence autonomie Lorraine,Fontainebleau,77300,CCAS,3 rue de Lorraine,01 64 22 79 05,residence.lorraine@fontainebleau.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=770802239,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Fontainebleau, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/fontainebleau-77300/residence-autonomie-lorraine/770802239,2026-01-30,personnes_agees
Résidence autonomie Les Libellules,Mormant,77720,Syndicat I,31 rue de Bagneaux,01 64 06 84 55,foyerresidence@orange.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=770802338,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Mormant, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/mormant-77720/residence-autonomie-les-libellules/770802338,2026-01-30,personnes_agees
Résidence autonomie Albert Flamant,Chelles,77500,CCAS,21 avenue Cugnot,01 64 21 15 62,foyer.flamant@chelles.fr,https://www.chelles.fr,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Chelles, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/chelles-77500/residence-autonomie-albert-flamant/770802213,2026-01-30,personnes_agees
Résidence autonomie Octave Landry,Villeparisis,77270,CCAS,1 chemin de la Couronne,01 64 27 98 00,rol@mairie-villeparisis.fr,http://villeparisis.fr,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Villeparisis, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/villeparisis-77270/residence-autonomie-octave-landry/770811644,2026-01-30,personnes_agees
"Résidence autonomie du Parc Ozoir-la-Ferrière, SEINE-ET-MARNE",Ozoir La Ferriere,77330,Commune,6 avenue du général de Gaulle,01 64 40 11 44,rpa@mairie-oizoir-la-ferriere.fr,https://www.mairie-ozoir-la-ferriere.fr/a-tout-age/seniors/hebergement-et-accueil-residence-du-parc/,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Ozoir La Ferriere, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/ozoir-la-ferriere-77330/residence-autonomie-du-parc/770816312,2026-01-30,personnes_agees
Résidence autonomie Henri Trinquand,Chelles,77500,CCAS,,01 64 26 04 31,foyer.trinquand@chelles.fr,https://www.chelles.fr,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Chelles, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/chelles-77500/residence-autonomie-henri-trinquand/770814903,2026-01-30,personnes_agees
"Résidence autonomie des Mésanges Vaires-sur-Marne, SEINE-ET-MARNE",Vaires sur-Marne,77360,CCAS,10 avenue des Mésanges,01 60 20 22 81,residencemesanges@vairessurmarne.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=770802312,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Vaires sur-Marne, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/vaires-sur-marne-77360/residence-autonomie-des-mesanges/770802312,2026-01-30,personnes_agees
"Résidence autonomie La Chesnaie Livry-sur-Seine, SEINE-ET-MARNE",Livry sur-Seine,77000,SIGF Foyer Résidence Livry/Seine,1 rue des Uselles,01 60 68 25 21,lachesnaie142@orange.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=770802270,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Livry sur-Seine, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/livry-sur-seine-77000/residence-autonomie-la-chesnaie/770802270,2026-01-30,personnes_agees
"Résidence autonomie Georges Brassens Pontault-Combault, SEINE-ET-MARNE",Pontault Combault,77340,CCAS,1 place Félicien Henriot,01 60 28 10 43,frpa@pontault-combault.fr,https://trajectoire.sante-ra.fr/GrandAge/Pages/Public/AccesEtablissement.aspx?FINESS=770808616,Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Pontault Combault, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Département (77),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/seine-et-marne-77/pontault-combault-77340/residence-autonomie-georges-brassens/770808616,2026-01-30,personnes_agees
