nom,presentation,adresse_l1,code_postal,commune,departement,region,telephone,email,site_web,gestionnaire,public_cible,habitat_type,eligibilite_statut,statut_editorial,source,pays,geom,geocode_precision,kitchenette,resto_collectif_midi,resto_collectif,portage_repas,fourchette_prix,prix_min,prix_max,services,nb_types_logements,sous_categorie
"Habitat inclusif ""Le Toit""","Habitat inclusif conventionné AVP à Lourdes porté par Cités Caritas. Logements autonomes regroupés autour d’espaces communs et d’un projet de vie sociale et partagée, favorisant entraide et lien de voisinage.",,65100,Lourdes,Hautes-Pyrénées (65),Occitanie,03 59 49 68 48,contact@club-des-six.fr,https://www.cites-caritas.fr/,Cités Caritas,"['personnes_handicapees', 'mixtes']",,non_eligible,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf | https://www.cites-caritas.fr/,FR,0101000020e61000007407b13385cea7bf0c6f7b270b8c4540,locality,True,False,False,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage,conciergerie",1,habitat inclusif
"Habitat inclusif ""Espace Abeliou""","Habitat inclusif de petite capacité à Jarret, animé par l’association ADMR Le Relais dans le cadre de l’AVP. Il propose des logements indépendants et des activités partagées pour des personnes âgées.",Mairie,65100,Jarret,Hautes-Pyrénées (65),Occitanie,05 62 92 96 09,admr.mds-lourdes@fede65.admr.org,https://www.admr.org/associations/admr-le-relais,ADMR Le Relais,['mixtes'],,a_verifier,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf | https://www.admr.org/associations/admr-le-relais,FR,0101000020e6100000e5ac99c640e88abf33cd2a22798a4540,street,False,False,False,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage",1,habitat inclusif
Habitat inclusif de Rabastens-de-Bigorre,"Projet d’habitat inclusif à Rabastens-de-Bigorre porté par la Communauté de Communes Adour Madiran, conventionné AVP. Logements regroupés avec animation du projet de vie sociale et partagée.",,65140,Rabastens-de-Bigorre,Hautes-Pyrénées (65),Occitanie,05 62 31 68 84,contact@adour-madiran.fr,https://www.adour-madiran.fr/,Communauté de Communes Adour Madiran,"['personnes_agees', 'personnes_handicapees']",,non_eligible,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf,FR,0101000020e610000080f3e2c4573bc33f47342669a3b14540,locality,True,False,False,False,euro,205.0,301.0,espace_partage,2,habitat inclusif
"Habitat inclusif ""Demeures et Ateliers des Gaves""","Ensemble d’habitats inclusifs à Lourdes porté par l’association Aygues Vives, conventionné AVP. Appartements regroupés, espaces communs et animations favorisant la vie sociale et la participation.",3 Chemin de l'Arrouza,65100,Lourdes,Hautes-Pyrénées (65),Occitanie,03 71 37 00 00,contact@club-des-six.fr,https://www.aygues-vives.com/les-demeures,Association Aygues Vives,['personnes_handicapees'],,non_eligible,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf | https://www.aygues-vives.com/les-demeures,FR,0101000020e610000017299485afafa9bf018d2d5ff28b4540,street,True,False,False,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage",1,habitat inclusif
"Habitat inclusif ""La Marotte""","Petite structure d’habitat inclusif portée par le CIAS des Baronnies, conventionnée AVP. Logements regroupés en milieu rural, favorisant entraide et convivialité.",,65130,Tilhouse,Hautes-Pyrénées (65),Occitanie,02 51 20 91 00,marpadesbaronnies@orange.fr,https://www.ccplateaudelannemezan.fr/wp-content/uploads/2019/04/brochure-marotte.pdf,CIAS des Baronnies,"['personnes_handicapees', 'mixtes']",,non_eligible,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf | https://www.ccplateaudelannemezan.fr/wp-content/uploads/2019/04/brochure-marotte.pdf,FR,0101000020e6100000545f4ce94fd1d33f3c365daa2d8b4540,locality,False,False,True,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage,médecin intervenant",1,habitat inclusif
"Habitat inclusif ""Villa Amély""","Habitat inclusif en colocation accompagnée porté par le Club des 6 à Lourdes, conventionné AVP. Espaces privatifs et lieux de vie partagés, animation du vivre‑ensemble.",,65100,Lourdes,Hautes-Pyrénées (65),Occitanie,07 49 19 57 10,contact@club-des-six.fr,https://www.club-des-six.fr/,Club des 6,"['personnes_agees', 'personnes_handicapees']",,non_eligible,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf | https://www.club-des-six.fr/,FR,0101000020e61000007407b13385cea7bf0c6f7b270b8c4540,locality,False,False,False,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage,commerces à pied",1,habitat inclusif
"Habitat inclusif ""Résidence Écrin""","Habitat inclusif situé à Tarbes, la Résidence Écrin accueille des adultes en situation de fragilité dans des logements regroupés avec animation de la vie sociale. Projet conventionné AVP et porté par l’association l’Eclore.",28 Rue Victor Hugo,65000,Tarbes,Hautes-Pyrénées (65),Occitanie,06 36 76 37 59,assoeclore65@gmail.com,https://www.eclore65.com/pages/contact.html,Association l’Eclore,['personnes_handicapees'],,non_eligible,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf | https://www.eclore65.com/pages/contact.html | https://www.pappers.fr/entreprise/eclore-878391580,FR,0101000020e61000002535fe8ef2ddb13f6b532b02529e4540,street,True,False,False,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage,médecin intervenant",3,habitat inclusif
Habitat inclusif de Gembrie,"Habitat inclusif rural porté par la commune de Gembrie, conventionné AVP. Logements regroupés et animations collectives pour favoriser la vie sociale.",,65370,Gembrie,Hautes-Pyrénées (65),Occitanie,,,,Commune de Gembrie,"mixtes,personnes_agees",,a_verifier,draft,https://www.hautespyrenees.fr/wp-content/uploads/2023/04/Habitat-inclusif.pdf,FR,0101000020e6100000b7de2527c969e23fd58cb1b8a47e4540,locality,False,False,False,False,,,,,0,habitat inclusif
Oh Activ Tarbes,"Résidence services seniors en centre‑ville de Tarbes, proposant des appartements du T1 au T3 et des services de proximité (animations, restauration, sécurité) à deux pas des commerces et transports.",16 Rue Montaigne,65000,Tarbes,Hautes-Pyrénées (65),Occitanie,05 17 13 82 98,,https://www.ohactiv.fr/residence-senior/residence-senior-tarbes/,Oh Activ,['personnes_agees'],,non_eligible,draft,https://www.ohactiv.fr/residence-senior/residence-senior-tarbes/,FR,0101000020e610000071546ea296e6b43fb7c94d79199d4540,street,False,False,True,False,deux_euros,750.0,1500.0,"activités organisées,commerces à pied",3,résidence services seniors
Les Templitudes – Les Jardins d’Occitanie,"Résidence services seniors proche du Jardin Massey, avec appartements du studio au T3 et espaces conviviaux. Cadre sécurisé et animations régulières avec vue sur les Pyrénées.",75 Rue Kléber,65000,Tarbes,Hautes-Pyrénées (65),Occitanie,05 62 56 66 00,,https://www.domusvi.com/residences-seniors/hautes-pyrenees-65/les-templitudes-les-jardins-doccitanie,DomusVi – Les Templitudes,['personnes_agees'],,non_eligible,draft,https://www.domusvi.com/residences-seniors/hautes-pyrenees-65/les-templitudes-les-jardins-doccitanie | https://www.lestemplitudestarbes.com/,FR,0101000020e610000043f7f6f8ce79b33f6c41ef8d21a04540,street,True,False,True,False,deux_euros,750.0,1500.0,"activités organisées,espace_partage,conciergerie,médecin intervenant",3,résidence services seniors
