siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
788425361,78842536100060,CONSONEO,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,62.01Z,Programmation informatique,"Programmation, conseil et autres activités informatiques",21,50,99,2022,2012-09-18,PARIS,75001,75101,15 RUE DU LOUVRE,,75
110000320,11000032000033,CNCCFP COMMISSION NATIONALE DES COMPTES DE CAMPAGNE ET DES FINANCEMENTS POLITIQUES,True,0,Non inscrit,Autorité administrative ou publique indépendante,7112,84.11Z,Administration publique générale,Administration publique et défense ; sécurité sociale obligatoire,21,50,99,2022,1990-01-15,PARIS,75015,75115,31 RUE DE LA FEDERATION,31-35,75
477673412,47767341200029,HASPOLO,True,0,Inscrit,"SAS, société par actions simplifiée",5710,14.13Z,Fabrication de vêtements de dessus,Industrie de l'habillement,21,50,99,2022,2004-03-01,SAINT-CHRISTOPHE-DU-BOIS,49280,49269,ZONE D'ACTIVITES DU PARC V,,75
495160657,49516065700062,LEXFO,True,0,Inscrit,"SAS, société par actions simplifiée",5710,62.02A,Conseil en systèmes et logiciels informatiques,"Programmation, conseil et autres activités informatiques",21,50,99,2023,2007-04-01,PARIS,75008,75108,17 AVENUE HOCHE,,75
443210984,44321098400052,COSOLUCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,58.29C,Édition de logiciels applicatifs,Édition,21,50,99,2022,2002-09-01,PAU,64000,64445,20 RUE JOHANNES KEPLER,,75
900210840,90021084000014,AMTALENTS,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,85.59A,Formation continue d'adultes,Enseignement,21,50,99,2022,2021-06-01,PARIS,75013,75113,151 BOULEVARD DE L'HOPITAL,,75
429427008,42942700800025,GIE RAMSAY SANTE,True,0,Inscrit,"GIE, groupement d'intérêt économique",6220,82.99Z,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,21,50,99,2022,2000-01-01,PARIS,75017,75117,39 RUE MSTISLAV ROSTROPOVITCH,,75
820434439,82043443900049,LIVESTORM SAS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,63.12Z,Portails Internet,Services d'information,22,100,199,2022,2016-05-17,LYON,69006,69386,16 RUE CUVIER,,75
525379426,52537942600014,GLOBAL PARTNER,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.51Z,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","Commerce de gros, à l'exception des automobiles et des motocycles",21,50,99,2022,2010-10-01,PARIS,75008,75108,38 RUE DES MATHURINS,,75
387949530,38794953000050,SYSTRA,True,0,Inscrit,SA à directoire (s.a.i.),5699,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,32,250,499,2023,1992-06-17,PARIS,75015,75115,72 RUE HENRY FARMAN,72 AU 76,75
542060132,54206013200199,M R C I,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.29A,"Messagerie, fret express",Entreposage et services auxiliaires des transports,22,100,199,2022,1954-01-01,PARIS,75012,75112,4 PLACE LOUIS ARMAND,TOUR DE L HORLOGE,75
722056496,72205649600010,ALMACEN,True,0,Inscrit,"SAS, société par actions simplifiée",5710,47.11B,Commerce d'alimentation générale,"Commerce de détail, à l'exception des automobiles et des motocycles",21,50,99,2022,1900-01-01,PARIS,75015,75115,2 RUE NANTEUIL,A L ANGLE DE LA RUE BRANCION,75
