siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
500890983,50089098300066,STEF LOGISTIQUE MIDI PYRENEES LIMOUSIN,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,52.10A,Entreposage et stockage frigorifique,Entreposage et services auxiliaires des transports,21,50,99,2022,2007-10-26,VILLENEUVE-LES-BOULOC,31620,31587,2 AVENUE DE LA TUILERIE,ZAC EUROCENTRE 2,75
481284354,48128435400059,SETELIA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2022,2005-03-08,PARIS,75002,75102,2 RUE VOLNEY,,75
348210196,34821019600013,VILLA THALIA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,87.10A,Hébergement médicalisé pour personnes âgées,Hébergement médico-social et social,21,50,99,2023,1988-10-04,SAINT-REMY,71100,71475,33 RUE CHARLES DODILLE,,75
353762743,35376274300071,VALUES.MEDIA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,73.11Z,Activités des agences de publicité,Publicité et études de marché,21,50,99,2022,1990-01-01,PARIS,75011,75111,18 RUE OBERKAMPF,,75
342133345,34213334500088,AUDITOIRE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,90.02Z,Activités de soutien au spectacle vivant,"Activités créatives, artistiques et de spectacle",22,100,199,2023,1987-08-12,PARIS,75016,75116,44 RUE COPERNIC,,75
398710921,39871092100014,S.R.G,True,0,Inscrit,"SAS, société par actions simplifiée",5710,87.10A,Hébergement médicalisé pour personnes âgées,Hébergement médico-social et social,21,50,99,2022,1994-10-11,SAINT-GENIS-DE-SAINTONGE,17240,17331,1 RUE DES BRUNETTES,,75
399311745,39931174500026,PDM INDUSTRIES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,17.12Z,Fabrication de papier et de carton,Industrie du papier et du carton,32,250,499,2022,1994-12-16,QUIMPERLE,29300,29233,KERISOLE,,75
852579184,85257918400023,TALEND,True,0,Inscrit,"SAS, société par actions simplifiée",5710,58.29A,Édition de logiciels système et de réseau,Édition,32,250,499,2022,2019-07-17,SURESNES,92150,92073,5 RUE SALOMON DE ROTHSCHILD,5-7,75
308174333,30817433300036,SOCOGEC IN EXTENSO ORNE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,69.20Z,Activités comptables,Activités comptables,21,50,99,2022,1976-01-01,CONDE-SUR-SARTHE,61250,61117,30 RUE D'ALENCON,,75
844191981,84419198100084,CARVEN FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",21,50,99,2022,2018-11-23,PARIS,75008,75108,4 ROND-POINT DES CHAMPS ELYSEES-MARCEL DASSAULT,4-6,75
392290169,39229016900037,A LOUISIANE,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,81.21Z,Nettoyage courant des bâtiments,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2022,1993-08-01,SURESNES,92150,92073,49 RUE ROUGET DE LISLE,,75
499154557,49915455700205,F.INITIATIVES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,70.22Z,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,32,250,499,2023,2007-07-11,PUTEAUX,92800,92062,14 TERRASSE BELLINI,,75
410254551,41025455100022,STEF LOGISTIQUE LE PLESSIS BELLEVILLE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,52.10A,Entreposage et stockage frigorifique,Entreposage et services auxiliaires des transports,22,100,199,2022,1996-12-17,LE PLESSIS-BELLEVILLE,60330,60500,19 AVENUE DES MEUNIERS,ZI,75
384351599,38435159900087,INDEX EDUCATION,True,0,Inscrit,"SAS, société par actions simplifiée",5710,58.29C,Édition de logiciels applicatifs,Édition,22,100,199,2022,1992-01-14,IVRY-SUR-SEINE,94200,94041,45 BOULEVARD PAUL VAILLANT COUTURIER,45-47,75
792791329,79279132900016,SIMPLON.CO,True,0,Inscrit,"SAS, société par actions simplifiée",5710,85.59A,Formation continue d'adultes,Enseignement,31,200,249,2023,2013-04-25,MONTREUIL,93100,93048,55 RUE DE VINCENNES,,75
622012748,62201274801231,SUEZ RV ENERGIE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,38.21Z,Traitement et élimination des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération",32,250,499,2022,1984-06-29,PUTEAUX,92800,92062,4 PLACE DE LA PYRAMIDE,ALTIPLANO,75
394003289,39400328900763,MA NOUVELLE VILLE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,70.22Z,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,21,50,99,2022,1994-01-01,PARIS,75013,75113,19 QUAI D'AUSTERLITZ,19-21,75
342434156,34243415600374,RIIS SOFTWAY MEDICAL SERVICES,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,62.02B,Tierce maintenance de systèmes et d'applications informatiques,"Programmation, conseil et autres activités informatiques",31,200,249,2023,1987-08-26,FUVEAU,13710,13040,29 ALLEE SAINT JEAN,ARTEPARC FUVEAU BATIMENT D,75
602056012,60205601200092,GMDS GRAND MASSIF DOMAINES SKIABLES,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,49.39C,Téléphériques et remontées mécaniques,Transports terrestres et transport par conduites,32,250,499,2023,1960-01-01,MAGLAND,74300,74159,LES GRANDES PLATIERES - TELEPHER,TELEPHERIQUE DE FLAINE,75
414433797,41443379700662,LE TANNEUR ET CIE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,46.49Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",22,100,199,2023,1997-11-06,PARIS,75008,75108,7 RUE TRONCHET,,75
414070987,41407098700030,DATALOG FINANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,58.29C,Édition de logiciels applicatifs,Édition,21,50,99,2022,1997-10-07,PARIS,75013,75113,25 RUE DE TOLBIAC,,75
399424753,39942475300024,PCE PILOT CORPORATION OF EUROPE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,46.49Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",31,200,249,2023,1994-12-19,FILLIERE,74370,74282,1 RUE DE L'ECRITURE,SAINT MARTIN BELLEVUE,75
525010708,52501070800010,EUROSTAR INTERNATIONAL LIMITED,True,0,Inscrit,Société commerciale étrangère immatriculée au RCS,3120,52.21Z,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,22,100,199,2022,2010-09-01,LONDRES,,,TIMES HOUSE BRAVINGTONS WALK,TIME HOUSE,75
494938871,49493887100071,FRACHT FRANCE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,52.29B,Affrètement et organisation des transports,Entreposage et services auxiliaires des transports,22,100,199,2022,2007-02-13,TREMBLAY-EN-FRANCE,93290,93073,7 RUE DU TE,"CARGO 4, BATIMENT 3447, BP 13138",75
423703032,42370303200015,GALIAN-SMABTP,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,70.22Z,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,21,50,99,2023,1999-07-20,PARIS,75008,75108,89 RUE LA BOETIE,,75
334027992,33402799200133,TERRITOIRE REDSKINS,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,14.13Z,Fabrication de vêtements de dessus,Industrie de l'habillement,21,50,99,2022,1985-10-30,GENNEVILLIERS,92230,92036,31 QUAI DES GRESILLONS,,75
494447949,49444794900046,LA FOURCHETTE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,63.11Z,"Traitement de données, hébergement et activités connexes",Services d'information,32,250,499,2023,2007-02-01,PARIS,75009,75109,70 RUE SAINT-LAZARE,,75
422689208,42268920800029,EVIDIAN,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,62.02A,Conseil en systèmes et logiciels informatiques,"Programmation, conseil et autres activités informatiques",22,100,199,2023,1999-02-05,LES CLAYES-SOUS-BOIS,78340,78165,AVENUE JEAN JAURES,,75
342479961,34247996100274,CAP HORN,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,47.71Z,Commerce de détail d'habillement en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",21,50,99,2022,1987-10-01,SAINT-JAMES,50240,50487,,ZI DE BEAUFOUR,75
528284441,52828444100052,LANGUAGE CONNEXION FRANCE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,85.59B,Autres enseignements,Enseignement,22,100,199,2022,2010-11-10,BOULOGNE-BILLANCOURT,92100,92012,10 RUE DE L'EST,,75
452256258,45225625800016,SELAS PHARMACIE DU FOUR BONAPARTE,True,0,Inscrit,Société d'exercice libéral par action simplifiée,5785,47.73Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",22,100,199,2022,2004-02-24,PARIS,75006,75106,26 RUE DU FOUR,,75
529505273,52950527300050,NEXTON CONSULTING,True,0,Inscrit,"SAS, société par actions simplifiée",5710,62.01Z,Programmation informatique,"Programmation, conseil et autres activités informatiques",32,250,499,2022,2010-12-22,PARIS,75002,75102,5 RUE SAINT-FIACRE,5-7,75
390230878,39023087800188,AMT TRANSFERT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.42Z,Services de déménagement,Transports terrestres et transport par conduites,21,50,99,2022,1993-01-02,COURBEVOIE,92400,92026,130 RUE DE NORMANDIE,,75
784353443,78435344300038,EUROPE MATH,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,85.31Z,Enseignement secondaire général,Enseignement,21,50,99,2022,1973-04-30,PARIS,75009,75109,64 B RUE TAITBOUT,,75
413925942,41392594200042,VICTORIA APPLIQUEE,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,81.21Z,Nettoyage courant des bâtiments,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2022,1997-10-02,PARIS,75012,75112,12 AVENUE DE CORBERA,,75
814500757,81450075701267,SAFM,True,0,Inscrit,"SAS, société par actions simplifiée",5710,96.03Z,Services funéraires,Autres services personnels,32,250,499,2023,2015-09-30,PARIS,75013,75113,62 RUE JEANNE D'ARC,62-68,75
388589269,38858926900058,SECAFI EXPERTISE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,69.20Z,Activités comptables,Activités comptables,21,50,99,2022,1992-09-11,PARIS,75013,75113,20 RUE MARTIN BERNARD,20-24,75
400840476,40084047600115,BASILIADE,True,0,Inscrit,Association déclarée,9220,87.90B,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Hébergement médico-social et social,22,100,199,2023,1994-09-01,PARIS,75011,75111,6 RUE DU CHEMIN VERT,,75
881248165,88124816500014,ELTO FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2023,2019-12-20,PARIS,75020,75120,38 AVENUE LEON GAUMONT,,75
