Département,Commune,Nom,Type,Téléphone,Email,Site,Gestionnaire/Opérateur,Source,habitat_type,sous_categories
Lot-et-Garonne,Marmande,Résidence autonomie Les Glycines,Résidence autonomie,05 53 64 14 19,glycines.marmande@mairie-marmande.fr,https://www.santeenfrance.fr/etablissement/39911-residence-autonomie-les-glycines,CCAS Marmande,citeturn4search2,residence,Résidence autonomie
Lot-et-Garonne,Le Passage,Résidence autonomie de Burges,Résidence autonomie,05 53 96 23 33,burges@ville-lepassage.fr,http://www.ville-lepassage.fr,CCAS Le Passage,citeturn17view0turn10search9,residence,Résidence autonomie
Lot-et-Garonne,Monclar,Résidence autonomie Bellevue,Résidence autonomie,05 53 41 80 69,monclar.mairie@orange.fr,,CCAS Monclar,citeturn10search12,residence,Résidence autonomie
Lot-et-Garonne,Miramont-de-Guyenne,Résidence autonomie Les Charmilles,Résidence autonomie,05 53 93 45 50,ccas@miramontdeguyenne.fr,https://www.ville-miramontdeguyenne.fr,CCAS Miramont-de-Guyenne,citeturn14search2,residence,Résidence autonomie
Lot-et-Garonne,Agen,Résidence autonomie La Salève,Résidence autonomie,05 53 77 98 98,philippe.sofys@agen.fr,,CCAS Agen,citeturn1search2,residence,Résidence autonomie
Lot-et-Garonne,Mézin,Résidence autonomie Les Michelettes,Résidence autonomie,05 53 65 70 36,administratif@ehpad-mezin.fr,https://ehpad-mezin.fr/logement-a-louer/,Maison de Retraite de Mézin,citeturn15search4,residence,Résidence autonomie
Lot-et-Garonne,Meilhan-sur-Garonne,Résidence autonomie Labeyrie,Résidence autonomie,05 53 94 31 74,nicolas.boyer@solincite.org,,Association SOLINCITE / Commune,citeturn4search3,residence,Résidence autonomie
Lot-et-Garonne,Tonneins,Résidence autonomie Les Tilleuls,Résidence autonomie,05 53 84 51 43,residencedestilleuls@ccas-tonneins.fr,,CCAS Tonneins,citeturn4search4,residence,Résidence autonomie
Lot-et-Garonne,Sainte-Bazeille,MARPA de Sainte-Bazeille,MARPA (Résidence autonomie),05 53 94 55 61,ccas-de-ste-bazeille@orange.fr,https://www.marpa.fr/marpas/residence-de-sainte-bazeille/,CCAS Sainte-Bazeille,citeturn16search0turn16search2,residence,MARPA
Lot-et-Garonne,Sérignac-sur-Garonne,MARPA Résidence du Clocher,MARPA (Résidence autonomie),05 53 77 08 70,marpa.serignac47@wanadoo.fr,https://www.marpa.fr/marpas/residence-du-clocher/,CCAS Sérignac-sur-Garonne,citeturn18search2turn18search1,residence,MARPA
