nom,commune,code_postal,gestionnaire,adresse_l1,telephone,email,site_web,sous_categories,habitat_type,eligibilite_avp,presentation,departement,source,date_extraction,public_cible
"Résidence autonomie Bellevue Monclar, LOT-ET-GARONNE",,,CCAS,,05 53 41 80 69,monclar.mairie@orange.fr,"https://www.google.com/maps/dir/?api=1&destination=188%20route%20de%20Cal%C3%A8s,%20Monclar",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/monclar-47380/residence-autonomie-bellevue/470005430,2025-12-02,personnes_agees
"Résidence autonomie de Burges Le Passage, LOT-ET-GARONNE",,,CCAS,,05 53 96 23 33,burges@ville-lepassage.fr,"https://www.google.com/maps/dir/?api=1&destination=%20rue%20Th%C3%A9ophile%20de%20Viau,%20Le%20Passage",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/le-passage-47520/residence-autonomie-de-burges/470004144,2025-12-02,personnes_agees
"Résidence autonomie Le Canalet Le Passage, LOT-ET-GARONNE",,,Mutualité,,05 53 98 88 00,adjointecanalet@mutualite47.fr,"https://www.google.com/maps/dir/?api=1&destination=%20Avenue%20Justin%20Maurice,%20Le%20Passage",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/le-passage-47520/residence-autonomie-le-canalet/470014440,2025-12-02,personnes_agees
"Résidence autonomie Labeyrie Meilhan-sur-Garonne, LOT-ET-GARONNE",Meilhan-sur-Garonne Voir itinéraire,47180,Google.Com,,05 53 94 31 74,residence-autonomie-labeyrie@solincite.org,"https://www.google.com/maps/dir/?api=1&destination=%20%20,%20Meilhan-sur-Garonne",Résidence autonomie,residence,a_verifier,"Résidence autonomie située à Meilhan-sur-Garonne Voir itinéraire, proposant un logement adapté aux seniors en perte d'autonomie légère avec services et animation collective.",Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/meilhan-sur-garonne-47180/residence-autonomie-labeyrie/470008103,2025-12-02,personnes_agees
"Résidence autonomie Les Charmilles Miramont-de-Guyenne, LOT-ET-GARONNE",,,CCAS,,05 53 93 45 50,ccas@miramontdeguyenne.fr,"https://www.google.com/maps/dir/?api=1&destination=%20Avenue%20Joliot%20Curie,%20Miramont-de-Guyenne",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/miramont-de-guyenne-47800/residence-autonomie-les-charmilles/470005422,2025-12-02,personnes_agees
"Résidence autonomie Les Glycines Marmande, LOT-ET-GARONNE",,,CCAS,,05 53 64 14 19,ccasaccueil@mairie-marmande.fr,"https://www.google.com/maps/dir/?api=1&destination=1%20rue%20de%20l'Automne,%20Marmande",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/marmande-47200/residence-autonomie-les-glycines/470004169,2025-12-02,personnes_agees
"Résidence autonomie Les Michelettes Mézin, LOT-ET-GARONNE",,,Google.Com,,05 53 65 70 36,administratif@ehpad-mezin.fr,"https://www.google.com/maps/dir/?api=1&destination=2%20rue%20Barrau,%20M%C3%A9zin",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/mezin-47170/residence-autonomie-les-michelettes/470015249,2025-12-02,personnes_agees
"Résidence autonomie Les Tilleuls Tonneins, LOT-ET-GARONNE",,,CCAS,,05 53 84 51 43,contact@ccas-tonneins.fr,"https://www.google.com/maps/dir/?api=1&destination=%20All%C3%A9es%20du%2011%20Novembre%201918,%20Tonneins",Résidence autonomie,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/tonneins-47400/residence-autonomie-les-tilleuls/470005455,2025-12-02,personnes_agees
"Résidence autonomie MARPA La Bégatte Duras, LOT-ET-GARONNE",,,CCAS,,05 53 83 35 05,marpa847@orange.fr,"https://www.google.com/maps/dir/?api=1&destination=25%20rue%20Jean%20Orieux,%20Duras",MARPA,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/duras-47120/residence-autonomie-marpa-la-begatte/470002932,2025-12-02,personnes_agees
"Résidence autonomie MARPA Gilbert Cassagne Boé, LOT-ET-GARONNE",,,CCAS,,05 53 48 23 86,marpa@ville-boe.fr,"https://www.google.com/maps/dir/?api=1&destination=%20Rue%20des%20Colchiques,%20Bo%C3%A9",MARPA,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/boe-47550/residence-autonomie-marpa-gilbert-cassagne/470013194,2025-12-02,personnes_agees
"Résidence autonomie MARPA Les Mûriers Pont-du-Casse, LOT-ET-GARONNE",,,CCAS,,05 53 66 45 01,marpa.pont-du-casse@wanadoo.fr,"https://www.google.com/maps/dir/?api=1&destination=%20Rue%20des%20Pinsons,%20Pont-du-Casse",MARPA,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/pont-du-casse-47480/residence-autonomie-marpa-les-muriers/470013863,2025-12-02,personnes_agees
"Résidence autonomie MARPA Résidence du Clocher Sérignac-sur-Garonne, LOT-ET-GARONNE",,,CCAS,,05 53 77 08 70,marpa.serignac47@wanadoo.fr,"https://www.google.com/maps/dir/?api=1&destination=9%20rue%20des%20Lilas,%20S%C3%A9rignac-sur-Garonne",MARPA,residence,a_verifier,,Lot-et-Garonne (47),https://www.pour-les-personnes-agees.gouv.fr/annuaire-ehpad-et-maisons-de-retraite/residence-autonomie/lot-et-garonne-47/serignac-sur-garonne-47310/residence-autonomie-marpa-residence-du-clocher/470013160,2025-12-02,personnes_agees
